name,energy flux (erg/cm2/s for 10-10000 keV),photon flux (ph/cm2/s for 10-10000 keV),t90 (s),best fit model,model parameters
bn121004211,2.264184827041946e-06,4.849568327167719,1.536,plaw,[1.524343]
bn110529034,5.649790523546774e-05,18.07257584731199,0.512,band,"[-0.8673255, -0.8673255, 874.4302092083824]"
bn090907808,1.7432021854676813e-06,5.4064436874627315,0.832,comp,"[-0.08967049, 395.8718]"
bn170127634,2.2678334113717084e-06,5.429878294651053,1.728,comp,"[-0.4318346, 621.9145]"
bn141230871,4.926922440842448e-06,8.51298689610811,0.224,plaw,[1.460363]
bn130912358,4.133352930625488e-06,10.483978286267194,0.512,comp,"[-0.9954004, 998.1555]"
bn180715741,2.121031489614681e-06,5.259107609735459,1.664,comp,"[-0.3213538, 560.7961]"
bn090616157,2.7252920315182215e-06,4.236100205543409,1.152,plaw,[1.428738]
bn171219279,5.6281213092070145e-06,5.693418261418317,1.152,plaw,[1.297632]
bn131217108,7.03556999018713e-06,7.103102812851367,0.768,comp,"[-0.483552, 1634.864]"
bn121112806,8.542590013170422e-06,4.601582264997366,1.28,plaw,[1.085652]
bn180523782,3.5466878475672075e-06,3.686711687486445,1.984,comp,"[-0.3522813, 1434.52]"
bn151231568,2.3847305190325338e-06,8.53467170209779,0.832,comp,"[-0.6703156, 464.5384]"
bn181126162,2.8451238642455797e-06,5.338501973016132,1.664,comp,"[-0.7364213, 1048.92]"
bn101026034,3.4538745535270027e-06,10.392698745302871,0.256,comp,"[-0.4108429, 477.5689]"
bn150101270,4.286208305815974e-06,6.993492386129306,0.48,plaw,[1.443254]
bn090518080,1.0386016346305871e-06,2.7481332445084443,2.048,plaw,[1.587542]
bn150506630,3.842106677704639e-06,7.4377170055066735,0.512,comp,"[-0.7181795, 993.0571]"
bn130929375,5.470069622760402e-07,1.2955466059651675,2.304,plaw,[1.554339]
bn081122614,9.570119762797254e-07,8.553019595678222,0.192,comp,"[-1.067436, 179.2807]"
bn120822628,3.171729991330128e-06,4.837100446253387,1.536,plaw,[1.423034]
bn081101491,9.788741762001454e-07,5.63088061679261,0.128,comp,"[-0.3365863, 221.3938]"
bn081230871,4.80854053217107e-06,5.209263539572954,0.512,plaw,[1.318982]
bn150923297,4.051987591142892e-06,7.832444943210134,0.192,plaw,[1.493789]
bn100117879,1.981515361470747e-06,7.399592817053263,0.256,comp,"[-0.0955883, 325.4309]"
bn120616630,6.257795303561133e-06,7.1739572813588675,0.048,plaw,[1.336461]
bn180625941,2.391692137425415e-06,5.370322230216104,0.704,comp,"[-0.1671652, 576.0172]"
bn150522944,5.956178232278473e-07,3.3318039771959675,1.024,comp,"[-0.3862028, 233.5066]"
bn131004904,5.77066513629537e-07,7.15546139696295,1.152,comp,"[-1.363461, 117.9107]"
bn110307972,4.3325904415060854e-06,4.900792259792692,2.304,plaw,[1.332334]
bn100516396,5.040054869120579e-06,4.384721202390004,0.64,plaw,[1.249766]
bn180201780,1.0347145360950688e-05,83.03503804575423,0.64,plaw,[1.953521]
bn180402406,1.2179664618937408e-05,13.821782491614094,0.448,comp,"[-0.3720512, 1326.791]"
bn130504314,2.5101377742565105e-05,29.428534092592898,0.384,comp,"[-0.4199932, 1327.161]"
bn141105406,1.867858451737139e-06,6.256447113855943,1.28,comp,"[-0.3955756, 420.3897]"
bn180626392,2.3938566356434295e-06,8.90609228068897,0.96,comp,"[-0.6310148, 431.2351]"
bn150923864,8.202809049419525e-07,6.629045435591429,1.792,comp,"[-0.2397291, 143.4936]"
bn140501139,5.512753612497556e-06,6.789640495777994,0.256,plaw,[1.358435]
bn110422029,4.3289701978965824e-06,6.165934685965113,0.32,plaw,[1.402498]
bn180227211,6.480386373496658e-06,6.341762098710512,0.288,plaw,[1.287217]
bn150506972,2.272407612013544e-06,4.274663726212857,0.384,comp,"[-0.7717279, 1086.463]"
bn140402007,4.573051305795568e-06,4.970849352965056,0.32,comp,"[0.1942518, 1045.689]"
bn140428906,7.739426218954876e-06,15.196936198325442,0.32,comp,"[-0.6376418, 905.1552]"
bn100107074,1.0060337138389053e-05,8.584829022471048,0.576,plaw,[1.243538]
bn140216331,4.898075366212136e-07,1.29315132542092,2.432,comp,"[-0.837336, 779.2198]"
bn110717180,6.455469891351073e-06,20.329419711776694,0.112,comp,"[-0.4280015, 458.5691]"
bn120619884,5.447431419655468e-06,4.285076439567267,0.96,plaw,[1.217004]
bn111117510,2.486747028686732e-06,7.007605452962691,0.432,comp,"[-0.50224, 543.6155]"
bn130701761,6.814253851504495e-06,9.503017623774587,1.6,comp,"[-0.5327687, 1205.375]"
bn100417166,1.004180532707992e-06,5.008626540265062,0.192,comp,"[-0.190245, 245.8652]"
bn141122087,2.0374398683275006e-06,6.063880851797552,1.28,comp,"[-0.07643487, 411.3504]"
bn130626452,3.9217676070558315e-06,9.37218555146553,1.728,plaw,[1.557022]
bn120205285,5.759263384063646e-06,3.6668079059692777,0.576,plaw,[1.145513]
